road_name,latitude,longitude,radius
FLEMINGTON STREET,-37.783076227,144.935685044,0.05
FLEMINGTON STREET,-37.782836453499996,144.935862405,0.05
EASTERN ROAD,-37.833984082,144.96585356,0.05
EASTERN ROAD,-37.833672052666664,144.96571046866666,0.05
EASTERN ROAD,-37.833360023333334,144.96556737733334,0.05
GEDDES STREET,-37.777803875,144.914483986,0.05
GEDDES STREET,-37.777842639,144.914842309,0.05
GIPPS STREET,-37.812718841,144.983160666,0.05
GIPPS STREET,-37.8127518415,144.98346370550001,0.05
JAMES STREET,-37.780160139,144.904971283,0.05
JAMES STREET,-37.780166169500006,144.905535508,0.05
LITTLE BOUNDARY STREET,-37.837060312,144.949081203,0.05
LITTLE BOUNDARY STREET,-37.837322755,144.9489563925,0.05
MOSS STREET,-37.848144548,144.988253792,0.05
MOSS STREET,-37.8482130035,144.988763477,0.05
ALFRED CRESCENT,-37.785416182,144.982941008,0.05
ALFRED CRESCENT,-37.785546033,144.982486892,0.05
CONVENTION CENTRE PLACE,-37.825260676,144.950666228,0.05
CONVENTION CENTRE PLACE,-37.825194248,144.9509823,0.05
HIGHLANDER LANE,-37.819785663,144.958091033,0.05
HIGHLANDER LANE,-37.819484716,144.9579530465,0.05
CONVENTION CENTRE PLACE,-37.824842024,144.949001717,0.05
CONVENTION CENTRE PLACE,-37.824946687,144.94941784474997,0.05
CONVENTION CENTRE PLACE,-37.825051349999995,144.9498339725,0.05
CONVENTION CENTRE PLACE,-37.825156013,144.95025010025,0.05
DOMAIN ROAD,-37.83438029,144.984326483,0.05
DOMAIN ROAD,-37.834427872,144.98471008233332,0.05
DOMAIN ROAD,-37.834475454,144.98509368166665,0.05
RICHARDSON STREET,-37.843560319,144.950916691,0.05
RICHARDSON STREET,-37.843391881,144.950627322,0.05
FLINDERS STREET,-37.81570975,144.973396953,0.05
FLINDERS STREET,-37.8158596975,144.9728894665,0.05
DRUMMOND STREET,-37.77946939,144.972021228,0.05
DRUMMOND STREET,-37.77989967533333,144.97195148666665,0.05
DRUMMOND STREET,-37.78032996066667,144.97188174533332,0.05
HARDY STREET,-37.844258466,144.989786413,0.05
HARDY STREET,-37.84466403625,144.98970371625,0.05
HARDY STREET,-37.845069606500005,144.9896210195,0.05
HARDY STREET,-37.84547517675,144.98953832274998,0.05
UNNAMED,-37.849457974,144.989487214,0.05
MORAY STREET,-37.833395201,144.963560329,0.05
MORAY STREET,-37.833765078333336,144.96373048766665,0.05
MORAY STREET,-37.83413495566666,144.96390064633334,0.05
LA TROBE STREET,-37.813033486,144.951908621,0.05
ST GEORGES ROAD,-37.78566583199989,144.981811327,0.05
ST GEORGES ROAD,-37.78595590499993,144.98156118133335,0.05
ST GEORGES ROAD,-37.78624597799996,144.98131103566666,0.05
UNNAMED,-37.8419651,144.990610624,0.05
LYGON STREET,-37.796787106,144.967620994,0.05
LYGON STREET,-37.796388445,144.96768870199998,0.05
CANNING STREET,-37.796219102,144.946142604,0.05
HOTHAM STREET,-37.796433723,144.987042913,0.05
HOTHAM STREET,-37.796473966,144.98742530200002,0.05
LITTLE COLLINS STREET,-37.817923678,144.954242035,0.05
LITTLE COLLINS STREET,-37.81778519425,144.95472589775,0.05
LITTLE COLLINS STREET,-37.8176467105,144.9552097605,0.05
LITTLE COLLINS STREET,-37.81750822675,144.95569362325,0.05
BOURKE STREET,-37.818358842,144.948879034,0.05
MILLS STREET,-37.845816934,144.95884501,0.05
MILLS STREET,-37.845550892,144.959066077,0.05
MOOR STREET,-37.801495931,144.976819762,0.05
MOOR STREET,-37.8014633505,144.9764958935,0.05
LAURENS STREET,-37.80217123,144.941620077,0.05
LAURENS STREET,-37.801835520750004,144.9416801675,0.05
LAURENS STREET,-37.8014998115,144.941740258,0.05
LAURENS STREET,-37.80116410225,144.9418003485,0.05
GEORGE JOHNSON LANE,-37.803469711,144.949549717,0.05
STOCKMANS WAY,-37.791773101,144.921603747,0.05
STOCKMANS WAY,-37.79153199933333,144.922030409,0.05
STOCKMANS WAY,-37.79129089766667,144.922457071,0.05
PALMERSTON CRESCENT,-37.834353936,144.969767176,0.05
HERBERT STREET,-37.844179586,144.957144062,0.05
LITTLE HARDIMAN STREET,-37.795248572,144.933422945,0.05
LITTLE HARDIMAN STREET,-37.795299591749995,144.9338628695,0.05
LITTLE HARDIMAN STREET,-37.7953506115,144.934302794,0.05
LITTLE HARDIMAN STREET,-37.79540163125,144.9347427185,0.05
BATMAN STREET,-37.811325321,144.949423962,0.05
BATMAN STREET,-37.811185353,144.9499280545,0.05
RAILWAY PLACE,-37.799077044,144.905647161,0.05
RAILWAY PLACE,-37.798902731666665,144.90605876466665,0.05
RAILWAY PLACE,-37.79872841933334,144.90647036833334,0.05
UNNAMED,-37.847923567,144.98724762,0.05
UNNAMED,-37.848143584,144.98745517449998,0.05
HENRY STREET,-37.796883255,144.975061562,0.05
HENRY STREET,-37.796946644,144.975608163,0.05
GREEVES STREET,-37.800104801,144.98086386,0.05
HOTHAM PLACE,-37.81354783,144.98479292,0.05
LITTLE COLLINS STREET,-37.817207988,144.956730975,0.05
LITTLE COLLINS STREET,-37.817288865500004,144.95645423050001,0.05
SWANSTON STREET,-37.814874066,144.966254428,0.05
SWANSTON STREET,-37.815157419,144.96638540700002,0.05
LOMANDRA WALKWAY,-37.776556262,144.976683848,0.05
LOMANDRA WALKWAY,-37.7762941815,144.97672453349998,0.05
PEARL RIVER ROAD,-37.811556682,144.936074263,0.05
PEARL RIVER ROAD,-37.811132315250006,144.93601975824998,0.05
PEARL RIVER ROAD,-37.8107079485,144.9359652535,0.05
PEARL RIVER ROAD,-37.81028358175,144.93591074875002,0.05
R O W Y,-37.80049901,144.980800897,0.05
ELLINIS MEWS,-37.838370678,144.925887369,0.05
ELLINIS MEWS,-37.838431117499994,144.926247719,0.05
WRIGHT STREET,-37.84870726,144.958764044,0.05
WRIGHT STREET,-37.848440479999994,144.9589848365,0.05
UNNAMED,-37.844501741,144.9894449,0.05
UNNAMED,-37.800315973,144.96294136,0.05
DIGHT STREET,-37.80001417,144.98887123,0.05
UNNAMED,-37.845217622,144.987111744,0.05
MONTAGUE PLACE,-37.836570956,144.953808242,0.05
MONTAGUE PLACE,-37.83648963,144.9540973005,0.05
YORK PLACE,-37.792898604,144.977286328,0.05
YORK PLACE,-37.792540908,144.9772934865,0.05
DUNDAS LANE,-37.841563407,144.955482814,0.05
LITTLE FINLAY STREET,-37.844480922,144.955118242,0.05
SOUTHGATE AVENUE,-37.82064006,144.965427321,0.05
SOUTHGATE AVENUE,-37.820519298,144.9658655245,0.05
SOUTHGATE AVENUE,-37.820398536,144.966303728,0.05
SOUTHGATE AVENUE,-37.820277774000004,144.9667419315,0.05
MARTIN STREET,-37.837067576,144.95759403,0.05
MARTIN STREET,-37.8372581225,144.957975449,0.05
MARTIN STREET,-37.837448669,144.958356868,0.05
MARTIN STREET,-37.8376392155,144.958738287,0.05
WELLINGTON STREET,-37.804433133,144.986441964,0.05
WELLINGTON STREET,-37.804857896,144.98636998199999,0.05
CLARENDON PLACE,-37.835599806,144.962570014,0.05
CLARENDON PLACE,-37.835872018,144.96269585649998,0.05
PARK STREET,-37.835581066,144.960356278,0.05
WILLIAM STREET,-37.82010589,144.960594689,0.05
CAPEL STREET,-37.803083683,144.95563941,0.05
ALLEN PLACE,-37.837598437,144.938986306,0.05
TOORAK ROAD,-37.838700435,144.98939654,0.05
LANGRIDGE STREET,-37.806884081,144.98899751,0.05
ELIZABETH STREET,-37.809249581,144.960866551,0.05
ELIZABETH STREET,-37.809507713,144.9609853155,0.05
MCLARTY LANE,-37.838349865,144.949258416,0.05
MCLARTY LANE,-37.838666277,144.949090157,0.05
ARNOLD STREET,-37.782619887,144.965366862,0.05
ARNOLD STREET,-37.78303945866667,144.96529970733334,0.05
ARNOLD STREET,-37.78345903033333,144.96523255266666,0.05
FOOTE STREET,-37.843462217,144.94750555,0.05
FOOTE STREET,-37.84369153,144.9472930675,0.05
LINLITHGOW AVENUE,-37.823261216,144.970337153,0.05
EPSOM ROAD,-37.777934703,144.912215238,0.05
EPSOM ROAD,-37.778246841,144.91250915749998,0.05
BOUNDARY STREET,-37.829811535,144.944814442,0.05
LITTLE COLLINS STREET,-37.816367006,144.959667507,0.05
ROYAL LANE,-37.814205276,144.967123379,0.05
COWPER STREET,-37.8032287509999,144.903527608,0.05
COWPER STREET,-37.80299809349995,144.903634844,0.05
MILLWARD STREET,-37.774832344,144.950007931,0.05
MILLWARD STREET,-37.775156401,144.949913495,0.05
MILLWARD STREET,-37.775480458,144.949819059,0.05
FOOTE LANE,-37.842625673,144.949310782,0.05
FOOTE LANE,-37.842890437,144.9492643625,0.05
MAGENTA PLACE,-37.804378774,144.966300759,0.05
MAGENTA PLACE,-37.804337995,144.9659378055,0.05
FRANCIS STREET,-37.777356225,144.919702901,0.05
FRANCIS STREET,-37.7772971435,144.91915653425,0.05
FRANCIS STREET,-37.777238061999995,144.9186101675,0.05
FRANCIS STREET,-37.7771789805,144.91806380075,0.05
FRANCIS STREET,-37.777119899,144.917517434,0.05
FRANCIS STREET,-37.7770608175,144.91697106725,0.05
FRANCIS STREET,-37.777001736,144.9164247005,0.05
FRANCIS STREET,-37.7769426545,144.91587833375,0.05
CLARKE STREET,-37.830425927,144.96078702,0.05
CLARKE STREET,-37.830148896,144.960659311,0.05
MACPHERSON STREET,-37.786526554,144.976944085,0.05
MACPHERSON STREET,-37.7864960765,144.97666219,0.05
SIMS STREET,-37.800970758,144.910841045,0.05
SIMS STREET,-37.8013491165,144.91057777700001,0.05
MONTAGUE STREET,-37.838533495,144.954706602,0.05
MONTAGUE STREET,-37.838242126,144.9545732185,0.05
CHARLES STREET,-37.848281459,144.989273162,0.05
GRESHAM STREET,-37.816092637,144.956757078,0.05
GRESHAM STREET,-37.81576669733333,144.95660361733334,0.05
GRESHAM STREET,-37.815440757666664,144.95645015666668,0.05
AUGUSTA AVENUE,-37.81567413,144.937998593,0.05
AUGUSTA AVENUE,-37.815830704,144.937586985,0.05
STOCKMANS WAY,-37.793172941,144.917597029,0.05
STOCKMANS WAY,-37.793495882,144.91734832,0.05
MCCONNELL STREET,-37.793922159,144.928888611,0.05
PATERSON STREET,-37.782768316,144.966849509,0.05
PATERSON STREET,-37.782807125000005,144.967237211,0.05
UNNAMED,-37.794531327,144.959126265,0.05
CARAVEL LANE,-37.814727281,144.940069674,0.05
CARAVEL LANE,-37.81458131150001,144.9403552675,0.05
UNNAMED,-37.795626415,144.964806867,0.05
CANTERBURY ROAD,-37.842169386,144.959203034,0.05
CANTERBURY ROAD,-37.8425468446,144.9594239554,0.05
CANTERBURY ROAD,-37.8429243032,144.9596448768,0.05
CANTERBURY ROAD,-37.8433017618,144.9598657982,0.05
CANTERBURY ROAD,-37.8436792204,144.9600867196,0.05
KERR STREET,-37.797235032,144.983349495,0.05
KERR STREET,-37.797276621500004,144.983742037,0.05
LITTLE BOURKE STREET,-37.811496493,144.968769991,0.05
IFFLA STREET,-37.83587688,144.950609293,0.05
RAGLAN STREET,-37.836711034,144.965090752,0.05
RAGLAN STREET,-37.836582705,144.96553524975002,0.05
RAGLAN STREET,-37.836454376,144.9659797475,0.05
RAGLAN STREET,-37.836326047,144.96642424524998,0.05
ERSKINE STREET,-37.850189193,144.96452053,0.05
ERSKINE STREET,-37.84998239775,144.96411109949997,0.05
ERSKINE STREET,-37.8497756025,144.963701669,0.05
ERSKINE STREET,-37.84956880725,144.9632922385,0.05
UNNAMED,-37.790818925,144.985049799,0.05
WILLIAM STREET,-37.820064179,144.960312449,0.05
GEDDES STREET,-37.777620523,144.912789153,0.05
GEDDES STREET,-37.777666361,144.91321286125,0.05
GEDDES STREET,-37.777712199,144.9136365695,0.05
GEDDES STREET,-37.777758037,144.91406027775,0.05
NELSON ROAD,-37.837954794,144.95212577,0.05
NELSON ROAD,-37.837640140333335,144.95209869966666,0.05
NELSON ROAD,-37.837325486666664,144.95207162933335,0.05
MUNROS LANE,-37.800907003,144.952089191,0.05
THE CAUSEWAY,-37.814973928,144.964486556,0.05
THE CAUSEWAY,-37.81464320966667,144.964350038,0.05
THE CAUSEWAY,-37.81431249133333,144.96421352000002,0.05
ASCOT VALE ROAD,-37.784969651,144.921823571,0.05
ASCOT VALE ROAD,-37.78455185333333,144.92189316433334,0.05
ASCOT VALE ROAD,-37.78413405566666,144.92196275766668,0.05
WIRRAWAY DRIVE,-37.826366628,144.90924727,0.05
WIRRAWAY DRIVE,-37.8262171084,144.909710205,0.05
WIRRAWAY DRIVE,-37.8260675888,144.91017314,0.05
WIRRAWAY DRIVE,-37.8259180692,144.91063607499999,0.05
WIRRAWAY DRIVE,-37.8257685496,144.91109901,0.05
WILLIAM STREET,-37.817157137,144.958886875,0.05
WILLIAM STREET,-37.8174001845,144.95899871950002,0.05
PRINCES PARK DRIVE,-37.791733504,144.961078746,0.05
PRINCES PARK DRIVE,-37.7913138830625,144.961219365125,0.05
PRINCES PARK DRIVE,-37.790894262125,144.96135998425,0.05
PRINCES PARK DRIVE,-37.7904746411875,144.961500603375,0.05
PRINCES PARK DRIVE,-37.79005502025,144.9616412225,0.05
PRINCES PARK DRIVE,-37.7896353993125,144.961781841625,0.05
PRINCES PARK DRIVE,-37.789215778375,144.96192246075,0.05
PRINCES PARK DRIVE,-37.7887961574375,144.962063079875,0.05
PRINCES PARK DRIVE,-37.788376536499996,144.96220369899999,0.05
PRINCES PARK DRIVE,-37.787956915562496,144.962344318125,0.05
PRINCES PARK DRIVE,-37.787537294625,144.96248493725,0.05
PRINCES PARK DRIVE,-37.7871176736875,144.962625556375,0.05
PRINCES PARK DRIVE,-37.78669805275,144.9627661755,0.05
PRINCES PARK DRIVE,-37.7862784318125,144.962906794625,0.05
PRINCES PARK DRIVE,-37.785858810875,144.96304741375,0.05
PRINCES PARK DRIVE,-37.7854391899375,144.963188032875,0.05
ST KILDA ROAD,-37.832859085,144.972627034,0.05
ST KILDA ROAD,-37.83314122866667,144.97298114216667,0.05
ST KILDA ROAD,-37.833423372333336,144.97333525033332,0.05
ST KILDA ROAD,-37.833705516,144.9736893585,0.05
ST KILDA ROAD,-37.83398765966667,144.97404346666667,0.05
ST KILDA ROAD,-37.834269803333335,144.97439757483332,0.05
RACECOURSE ROAD,-37.788597133,144.934617979,0.05
LALOR STREET,-37.838065877,144.94189935,0.05
MADDEN TERRACE,-37.795440463,144.926203935,0.05
MADDEN TERRACE,-37.795657632,144.9258296305,0.05
NELSON ROAD,-37.838947433,144.950975586,0.05
NELSON ROAD,-37.839351066333336,144.95101134666666,0.05
NELSON ROAD,-37.83975469966666,144.95104710733332,0.05
FERGUSON STREET,-37.775484493,144.911860967,0.05
FERGUSON STREET,-37.77515305666667,144.91191505666666,0.05
FERGUSON STREET,-37.774821620333334,144.91196914633335,0.05
MACKENZIE ROAD,-37.809042386,144.90720599,0.05
MACKENZIE ROAD,-37.809476610428575,144.90710484014286,0.05
MACKENZIE ROAD,-37.80991083485714,144.9070036902857,0.05
MACKENZIE ROAD,-37.810345059285716,144.90690254042858,0.05
MACKENZIE ROAD,-37.81077928371428,144.90680139057142,0.05
MACKENZIE ROAD,-37.811213508142856,144.9067002407143,0.05
MACKENZIE ROAD,-37.81164773257142,144.90659909085713,0.05
MORAY STREET,-37.828399454,144.961255581,0.05
MORAY STREET,-37.8286776155,144.9613840055,0.05
WILLIAM STREET,-37.809676349,144.955481246,0.05
WILLIAM STREET,-37.810038782,144.9556495325,0.05
CLARENDON STREET,-37.829682957,144.959039363,0.05
CLARENDON STREET,-37.8294034815,144.9589104415,0.05
RAE STREET,-37.786514316,144.979564586,0.05
DORCAS STREET,-37.833362373,144.959339957,0.05
CENTRE LANE,-37.845585769,144.984254383,0.05
CENTRE LANE,-37.845961279,144.98417799650002,0.05
ROUSE STREET,-37.840975295,144.937482586,0.05
ROUSE STREET,-37.841142615500004,144.9377719865,0.05
ROTHWELL STREET,-37.775647999,144.919981023,0.05
KING WILLIAM STREET,-37.802225571,144.976691538,0.05
KING WILLIAM STREET,-37.80217529,144.97620095475,0.05
KING WILLIAM STREET,-37.802125009,144.97571037149999,0.05
KING WILLIAM STREET,-37.802074728,144.97521978825,0.05
ROSE STREET,-37.796440611,144.983486062,0.05
ROSE STREET,-37.796398245666666,144.98308660466665,0.05
ROSE STREET,-37.79635588033334,144.98268714733334,0.05
RICHARDSON STREET,-37.842255336,144.9486714,0.05
RICHARDSON STREET,-37.8421093795,144.94841983700002,0.05
WALTHAM STREET,-37.783616993,144.928240352,0.05
WALTHAM STREET,-37.783658913500005,144.92865818349998,0.05
TOORAK ROAD,-37.837010612,144.976249967,0.05
ELIZABETH STREET,-37.81129897,144.961808665,0.05
ELIZABETH STREET,-37.81162647566667,144.961958238,0.05
ELIZABETH STREET,-37.81195398133333,144.962107811,0.05
GARRARD STREET,-37.779339862,144.941543483,0.05
GARRARD STREET,-37.779415287,144.94196449650002,0.05
LITTLE COLLINS STREET,-37.816996651,144.957466736,0.05
CORRS LANE,-37.81094813,144.968177869,0.05
CORRS LANE,-37.811265742,144.9683253865,0.05
SPEAKMEN STREET,-37.794273936,144.916390545,0.05
DOCKLANDS DRIVE,-37.8140723,144.939664534,0.05
DOCKLANDS DRIVE,-37.8139501755,144.939984122,0.05
CHURCHILL AVENUE,-37.780112622,144.921752628,0.05
TURNER STREET,-37.824033747,144.93447179,0.05
ALBERT ROAD,-37.835402102,144.970863827,0.05
FISHER PARADE,-37.789054376,144.903869204,0.05
FISHER PARADE,-37.7886744252,144.9040882668,0.05
FISHER PARADE,-37.788294474400004,144.9043073296,0.05
FISHER PARADE,-37.7879145236,144.90452639240002,0.05
FISHER PARADE,-37.787534572800006,144.90474545520001,0.05
PARK STREET,-37.836508985,144.957133158,0.05
TOORAK ROAD,-37.838752133,144.989791635,0.05
FLEMINGTON ROAD,-37.793725109,144.947316524,0.05
FLEMINGTON ROAD,-37.7934439408,144.946973,0.05
FLEMINGTON ROAD,-37.7931627726,144.946629476,0.05
FLEMINGTON ROAD,-37.7928816044,144.946285952,0.05
FLEMINGTON ROAD,-37.7926004362,144.945942428,0.05
BOUNDARY STREET,-37.827272331,144.941875939,0.05
NUNN LANE,-37.812543773,144.986565299,0.05
NUNN LANE,-37.812250749,144.9866142205,0.05
EPSOM ROAD,-37.783614048,144.917613505,0.05
EPSOM ROAD,-37.78394082966666,144.91792758133332,0.05
EPSOM ROAD,-37.784267611333334,144.91824165766667,0.05
PORTAL STREET,-37.780966315,144.915110438,0.05
PORTAL STREET,-37.780774027,144.91543198233333,0.05
PORTAL STREET,-37.780581739,144.91575352666666,0.05
BLANCHE STREET,-37.826862542,144.989026086,0.05
BUNCLE STREET,-37.794430773,144.940385393,0.05
BUNCLE STREET,-37.7947067755,144.9402503585,0.05
GEORGE STREET,-37.815541349,144.987988997,0.05
GEORGE STREET,-37.81559103125,144.98843657825,0.05
GEORGE STREET,-37.8156407135,144.9888841595,0.05
GEORGE STREET,-37.815690395749996,144.98933174075,0.05
FRANKLIN STREET,-37.809401107,144.957563297,0.05
FRANKLIN STREET,-37.809498082000005,144.95789542350002,0.05
NAPIER STREET,-37.836712757,144.961000676,0.05
NAPIER STREET,-37.836597516,144.96137421266667,0.05
NAPIER STREET,-37.836482275,144.96174774933334,0.05
NICHOLSON STREET,-37.842868034,144.989459841,0.05
STERLING STREET,-37.775654476,144.969139437,0.05
STERLING STREET,-37.776084857,144.969070521,0.05
DREWERY PLACE,-37.811145379,144.964063565,0.05
RAGLAN STREET,-37.83380987,144.944667881,0.05
RAGLAN STREET,-37.833657557,144.944405583,0.05
HYLAND STREET,-37.844390366,144.98852764,0.05
HYLAND STREET,-37.844829716999996,144.98843664266667,0.05
HYLAND STREET,-37.845269068,144.98834564533334,0.05
MILLS STREET,-37.847861501,144.957146039,0.05
MILLS STREET,-37.8475964895,144.95736625450002,0.05
STATION STREET,-37.794829997,144.974427711,0.05
THE CRESCENT,-37.795046857,144.919925436,0.05
MUSGROVE MEWS,-37.791968199,144.920198605,0.05
YOUNG STREET,-37.795489704,144.980166512,0.05
YOUNG STREET,-37.79517439,144.9802193245,0.05
QUEENSBERRY STREET,-37.802490658,144.944570023,0.05
QUEENSBERRY STREET,-37.802438454500006,144.94408806450002,0.05
BAYSWATER ROAD,-37.79311198399989,144.92429062,0.05
BAYSWATER ROAD,-37.793258449499945,144.924036463,0.05
RAE STREET,-37.781362995,144.980493615,0.05
RAE STREET,-37.780935957,144.98056843450001,0.05
STURT STREET,-37.826297911,144.96649961,0.05
DUNSTAN PARADE,-37.836856914,144.919896567,0.05
KENSINGTON ROAD,-37.798493051,144.920111206,0.05
KENSINGTON ROAD,-37.7982681076,144.9205017438,0.05
KENSINGTON ROAD,-37.7980431642,144.9208922816,0.05
KENSINGTON ROAD,-37.797818220799996,144.9212828194,0.05
KENSINGTON ROAD,-37.7975932774,144.9216733572,0.05
MONASH ROAD,-37.798297652,144.961949692,0.05
FAUSSETT STREET,-37.840993667,144.954673485,0.05
BEACON VISTA,-37.839265246,144.929425795,0.05
BEACON VISTA,-37.839001147,144.929434489,0.05
CHARLOTTE STREET,-37.796613277,144.988749078,0.05
MACKENZIE STREET,-37.807594824,144.966538545,0.05
LITTLE BOUNDARY STREET,-37.838701106,144.948303141,0.05
LITTLE BOUNDARY STREET,-37.838996068,144.94816398749998,0.05
UNNAMED,-37.84087336,144.987141117,0.05
UNNAMED,-37.793546538,144.971644698,0.05
NICHOLSON STREET,-37.842522188,144.986736216,0.05
NICHOLSON STREET,-37.8424562885,144.986217335,0.05
EARL STREET,-37.806034495,144.965266129,0.05
EARL STREET,-37.806073996500004,144.965633588,0.05
LITTLE FLEET STREET,-37.803241008,144.974996246,0.05
LITTLE FLEET STREET,-37.80356882266667,144.974941626,0.05
LITTLE FLEET STREET,-37.80389663733333,144.974887006,0.05
TYSON STREET,-37.821792062,144.990602944,0.05
TYSON STREET,-37.822110120000005,144.9905460095,0.05
GOLD STREET,-37.797720828,144.989357986,0.05
LITTLE COLLINS STREET,-37.813546664,144.969354346,0.05
LITTLE COLLINS STREET,-37.813665371,144.968952257,0.05
SPRING STREET,-37.807867615,144.97150409,0.05
SPRING STREET,-37.80813722599996,144.9715910525,0.05
NAVIGATION DRIVE,-37.822389626,144.94756001,0.05
NAVIGATION DRIVE,-37.822346349,144.947278752,0.05
FLINDERS LANE,-37.818071675,144.961444503,0.05
PIGDON STREET,-37.78240492,144.975480061,0.05
